Molecule,Atoms,Electrons,CNDO2_Total,CNDO2_Electronic,CNDO2_Nuclear,CNDO2_PerAtom,CNDO2_PerElectron,CNDO2_GradNorm,CNDOS_Total,CNDOS_Electronic,CNDOS_Nuclear,CNDOS_PerAtom,CNDOS_PerElectron,CNDOS_GradNorm,Energy_Diff,Energy_Diff_Percent
H2,2,2,-40.575107,-60.033774,19.458667,-20.287554,-20.287554,0.625023,-80.845205,-100.303872,19.458667,-40.422602,-40.422602,31.046384,-40.270097,-99.248283
CH4,5,8,-181.202869,-672.520146,491.317277,-36.240574,-22.650359,215.100566,-7554.239232,-8045.556508,491.317277,-1510.847846,-944.279904,332.620011,-7373.036363,-4068.940190
C2H4,6,12,-247.201835,-1343.807191,1096.605357,-41.200306,-20.600153,401.985578,14659.810575,13563.205218,1096.605357,2443.301762,1221.650881,4533.791154,14907.012410,6030.300070
H2,2,2,-40.575107,-60.033774,19.458667,-20.287554,-20.287554,0.625023,-80.845205,-100.303872,19.458667,-40.422602,-40.422602,31.046384,-40.270097,-99.248283
CH4,5,8,-181.202869,-672.520146,491.317277,-36.240574,-22.650359,215.100566,-7554.239232,-8045.556508,491.317277,-1510.847846,-944.279904,332.620011,-7373.036363,-4068.940190
C2H4,6,12,-247.201835,-1343.807191,1096.605357,-41.200306,-20.600153,401.985578,14659.810575,13563.205218,1096.605357,2443.301762,1221.650881,4533.791154,14907.012410,6030.300070
C2H6,8,14,-284.441695,-1676.673621,1392.231926,-35.555212,-20.317264,371.384980,-18370.539299,-19762.771225,1392.231926,-2296.317412,-1312.181378,589.254476,-18086.097604,-6358.455153
C4H10,14,26,740.723656,-3167.088343,3907.811999,52.908833,28.489371,518.168377,-32040.452488,-35948.264488,3907.811999,-2288.603749,-1232.325096,1205.581467,-32781.176144,-4425.560851
H2,2,2,-40.575107,-60.033774,19.458667,-20.287554,-20.287554,0.625023,-35.135006,-54.593673,19.458667,-17.567503,-17.567503,8.608747,5.440101,13.407484
CH4,5,8,-181.202869,-672.520146,491.317277,-36.240574,-22.650359,215.100566,-905.008478,-1396.325755,491.317277,-181.001696,-113.126060,235.645009,-723.805609,-399.444895
C2H4,6,12,-247.201835,-1343.807191,1096.605357,-41.200306,-20.600153,401.945907,-1830.573560,-2927.178917,1096.605357,-305.095593,-152.547797,422.578910,-1583.371726,-640.517789
C2H6,8,14,-284.441695,-1676.673621,1392.231926,-35.555212,-20.317264,371.384980,-2372.363414,-3764.595340,1392.231926,-296.545427,-169.454530,394.346796,-2087.921719,-734.042075
C4H10,14,26,740.723656,-3167.088343,3907.811999,52.908833,28.489371,520.339603,-6894.659359,-10802.471359,3907.811999,-492.475669,-265.179206,550.536007,-7635.383016,-1030.800482
C6H6,12,30,-717.833424,-6001.237148,5283.403724,-59.819452,-23.927781,834.383199,-9001.201671,-14284.605395,5283.403724,-750.100139,-300.040056,881.263983,-8283.368247,-1153.940172
