Distance,CNDO2_Energy,CNDOS_Energy,CNDOS_Gradient
0.4,-7.11367,60.9031,165.663
0.45,-14.1944,54.0728,130.048
0.5,-19.7189,77.6254,117.792
0.55,-24.1029,42.5599,84.9982
0.6,-27.6245,38.5571,70.6255
0.65,-30.4774,35.2221,59.5312
0.7,-32.8009,32.4248,50.8392
0.75,-34.698,30.0722,43.9552
0.8,-36.2465,28.0971,38.4649
0.85,-37.5069,26.4509,34.0726
0.9,-38.5264,25.0991,30.5631
0.95,-39.3431,24.0186,27.7779
1,-39.9876,23.1955,25.599
1.05,-40.4853,22.6242,23.9391
1.1,-40.857,22.3073,22.7341
1.15,-41.1204,22.256,21.9392
